Formula,d2occu,Slog,S,Sclass,Ea,a,c,a/c,h,d,Vcalc,,D1eneff,D2eneff,D3eneff,,,RelPvol,RelSivol,RelD1vol,RelD2vol,RelD3vol,,Totalvol,Pestimvol,Siestimvol,D1vol,D2vol,D3vol,,,Pestimrad,Siestimrad,Pvolpermolecule,Sivolpermolecule,D1volperatom,D2volperatom,D3volperatom,D1ionicr,D2ionicr,D3ionicr,D1eff,D2eff,D3eff,Ga,Sc,Y,Yb,Cr,Al,In,Co,Cu,Zn,Mg,Mo,Nb,Sn,Hf,Ge,Ti,Zr,SiO4,Na,PO4,Fe,D1eneg,D2eneg,D3eneg
NaSn0.5Zr1.5(PO4)3,0.5,-10.37365963,4.23E-11,0,0.63,8.525,21.974,0.387958496,12.05617062,25.0640764,1383.020212,,0.93,0.98,1.995,,,0.994690889,0,0.002448334,0.000659591,0.002201186,,1815.591175,1805.952,0,4.445173921,1.197546881,3.996454338,,,9.072761768,0,601.984,665.842,4.445173921,2.395093762,2.664302892,1.02,0.83,0.86,1.02,0.415,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.5,0,1,3,0,0.93,1.96,1.33
NaSnZr(PO4)3,1,-9.607303047,2.47E-10,0,0.63,8.6943,22.473,0.386877586,12.29559698,25.61674128,1471.16345,,0.93,1.96,1.33,,,0.994764639,0,0.002448516,0.001319279,0.001467566,,1815.456571,1805.952,0,4.445173921,2.395093762,2.664302892,,,9.072761768,0,601.984,665.842,4.445173921,2.395093762,2.664302892,1.02,0.83,0.86,1.02,0.83,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,0.93,1.96,1.33
NaSn1.5Zr0.5(PO4)3,1.5,-9.101823517,7.91E-10,0,0.59,8.623,22.357,0.385695755,12.19476355,25.46659983,1439.66329,,0.93,2.94,0.665,,,0.9948384,0,0.002448697,0.001979065,0.000733838,,1815.321966,1805.952,0,4.445173921,3.592640643,1.332151446,,,9.072761768,0,601.984,665.842,4.445173921,2.395093762,2.664302892,1.02,0.83,0.86,1.02,1.245,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0.5,0,1,3,0,0.93,1.96,1.33
NaNbZr(PO4)3,1,-7.603800653,2.49E-08,0,0.54,8.776,22.431,0.39124426,12.41113822,25.63564146,1496.140903,,0.93,1.6,1.33,,,0.994811507,0,0.002448631,0.001272226,0.001467635,,1815.37104,1805.952,0,4.445173921,2.309562927,2.664302892,,,9.072761768,0,601.984,665.842,4.445173921,2.309562927,2.664302892,1.02,0.82,0.86,1.02,0.82,0.86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0.93,1.6,1.33
NaNbTi(PO4)3,1,-5.798602876,0.00000159,1,0.38,8.64,22.001,0.392709422,12.21880518,25.16631083,1422.330548,,0.93,1.6,1.54,,,0.995322645,0,0.002449889,0.00127288,0.000954585,,1814.438773,1805.952,0,4.445173921,2.309562927,1.732036583,,,9.072761768,0,601.984,665.842,4.445173921,2.309562927,1.732036583,1.02,0.82,0.745,1.02,0.82,0.745,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,0,0.93,1.6,1.54
NaMoZr(PO4)3,1,-8.68613278,2.06E-09,0,0.55,8.721,22.401,0.389312977,12.33335648,25.57179077,1475.470772,,0.93,2.16,1.33,,,0.994945415,0,0.002448961,0.001137791,0.001467833,,1815.126712,1805.952,0,4.445173921,2.065235189,2.664302892,,,9.072761768,0,601.984,665.842,4.445173921,2.065235189,2.664302892,1.02,0.79,0.86,1.02,0.79,0.86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0.93,2.16,1.33
NaMoTi(PO4)3,1,-6.512861625,0.000000307,0,0.4,8.545,21.881,0.390521457,12.08445489,24.99624394,1383.636251,,0.93,2.16,1.54,,,0.995456691,0,0.002450219,0.001138376,0.000954714,,1814.194446,1805.952,0,4.445173921,2.065235189,1.732036583,,,9.072761768,0,601.984,665.842,4.445173921,2.065235189,1.732036583,1.02,0.79,0.745,1.02,0.79,0.745,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0.93,2.16,1.54
Na3Zr2(SiO4)2(PO4),1,-3.173925197,0.00067,1,0.33,9.021,9.206,0.97990441,12.75762055,15.7323653,1616,,2.79,1.33,1.33,,,0.308340979,0.682099107,0.00683056,0.001364677,0.001364677,,1952.332128,601.984,1331.684,13.33552176,2.664302892,2.664302892,,,9.072761768,0,601.984,665.842,4.445173921,2.664302892,2.664302892,1.02,0.86,0.86,3.06,0.86,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,0.93,1.33,1.33
Na4Zr2(SiO4)3,1,-8.05207638,8.87E-09,0,0.38,9.1,22.07,0.412324422,12.86934342,25.54808995,1582.762491,,3.72,1.33,1.33,,,0.471948464,0.522012394,0.00464662,0.000696261,0.000696261,,3826.587301,1805.952,1997.526,17.78069568,2.664302892,2.664302892,,,9.072761768,9.383207814,601.984,665.842,4.445173921,2.664302892,2.664302892,1.02,0.86,0.86,4.08,0.86,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,0,0.93,1.33,1.33
Na2.4Hf2(SiO4)1.4(PO4)1.6,1,-3.13667714,0.00073,1,0.4,8.945,22.81,0.392152565,12.65014032,26.08298583,1580.580453,,2.232,1.3,1.3,,,0.503972,0.487753842,0.00558215,0.001346004,0.001346004,,1911.166495,963.1744,932.1788,10.66841741,2.572438612,2.572438612,,,6.625808372,6.409951233,601.984,665.842,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,2.448,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.4,2.4,1.6,0,0.93,1.3,1.3
Na2.6Hf2(SiO4)1.6(PO4)1.4,1,-3.229147988,0.00059,1,0.35,8.966,22.82,0.392900964,12.6798388,26.10614319,1588.70675,,2.418,1.3,1.3,,,0.437845865,0.553476821,0.00600441,0.001336452,0.001336452,,1924.827129,842.7776,1065.3472,11.55745219,2.572438612,2.572438612,,,6.19787621,6.852526109,601.984,665.842,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,2.652,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.6,2.6,1.4,0,0.93,1.3,1.3
Na2.8Hf2(SiO4)1.8(PO4)1.2,1,-3.161150909,0.00069,1,0.42,8.982,22.89,0.392398427,12.70246622,26.17832592,1599.272707,,2.604,1.3,1.3,,,0.37265172,0.618273492,0.00642072,0.001327034,0.001327034,,1938.487764,722.3808,1198.5156,12.44648698,2.572438612,2.572438612,,,5.738118371,7.26820152,601.984,665.842,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,2.856,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.8,2.8,1.2,0,0.93,1.3,1.3
Na3Hf2(SiO4)2(PO4),1,-2.958607315,0.0011,1,0.35,9.021,22.89,0.394102228,12.75762055,26.20513274,1613.190999,,2.79,1.3,1.3,,,0.308369999,0.682163303,0.006831203,0.001317747,0.001317747,,1952.148399,601.984,1331.684,13.33552176,2.572438612,2.572438612,,,5.238161449,7.661357099,601.984,665.842,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,3.06,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,1,0,0.93,1.3,1.3
Na3.2Hf2(SiO4)2.2(PO4)0.8,1,-2.638272164,0.0023,1,0.36,9.043,22.8,0.396622807,12.78873324,26.14176157,1614.695148,,2.976,1.3,1.3,,,0.24498168,0.745165158,0.007235981,0.00130859,0.00130859,,1965.809034,481.5872,1464.8524,14.22455655,2.572438612,2.572438612,,,4.685154031,8.035299114,601.984,665.842,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,3.264,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2.2,3.2,0.8,0,0.93,1.3,1.3
Na3.4Hf2(SiO4)2.4(PO4)0.6,1,-2.853871964,0.0014,1,0.35,9.056,22.63,0.400176757,12.80711802,26.00267625,1607.266946,,3.162,1.3,1.3,,,0.182468267,0.807297442,0.007635172,0.001299559,0.001299559,,1979.469669,361.1904,1598.0208,15.11359133,2.572438612,2.572438612,,,4.057462411,8.392596208,601.984,665.842,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,3.468,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2.4,3.4,0.6,0,0.93,1.3,1.3
Na3.6Hf2(SiO4)2.6(PO4)0.4,1,-2.920818754,0.0012,1,0.34,9.084,22.481,0.404074552,12.846716,25.89273012,1606.573164,,3.348,1.3,1.3,,,0.12081177,0.868578034,0.008028891,0.001290653,0.001290653,,1993.130303,240.7936,1731.1892,16.00262612,2.572438612,2.572438612,,,3.312904186,8.735291087,601.984,665.842,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,3.672,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2.6,3.6,0.4,0,0.93,1.3,1.3
Na3.8Hf2(SiO4)2.8(PO4)0.2,1,-3.494850022,0.00032,1,0.35,9.111,23.309,0.39087906,12.88489977,26.6332522,1675.661791,,3.534,2.6,1.3,,,0.05999469,0.929024327,0.00841725,0.001281867,0.001281867,,2006.790938,120.3968,1864.3576,16.8916609,2.572438612,2.572438612,,,2.342577015,9.065039968,601.984,665.842,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,3.876,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2.8,3.8,0.2,0,0.93,1.3,1.3
Na1.2In0.2Zr1.8(PO4)3,0.2,-6.681936665,0.000000208,0,0.49,8.8198,22.7217,0.388166378,12.47308078,25.92013493,1530.695929,,1.116,0.356,2.394,,,0.994041219,0,0.002936082,0.000383001,0.002639698,,1816.777782,1805.952,0,5.334208705,0.695827837,4.795745206,,,9.072761768,0,601.984,665.842,4.445173921,3.479139185,2.664302892,1.02,0.94,0.86,1.224,0.188,1.548,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1.8,0,1.2,3,0,0.93,1.78,1.33
Na1.4In0.4Zr1.6(PO4)3,0.4,-6.010550182,0.000000976,0,0.45,8.83778,22.6913,0.389478787,12.49850834,25.90574852,1534.886909,,1.302,0.712,2.128,,,0.993465954,0,0.003423447,0.000765559,0.002345041,,1817.829784,1805.952,0,6.223243489,1.391655674,4.262884627,,,9.072761768,0,601.984,665.842,4.445173921,3.479139185,2.664302892,1.02,0.94,0.86,1.428,0.376,1.376,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,1.6,0,1.4,3,0,0.93,1.78,1.33
Na1.5Al0.5Zr1.5(PO4)3,0.5,-5.244125144,0.0000057,1,0.54,8.7991,22.7283,0.387142901,12.44380656,25.91184946,1523.961837,,1.395,0.805,1.995,,,0.99377726,0,0.003669128,0.000354448,0.002199164,,1817.260339,1805.952,0,6.667760881,0.644124125,3.996454338,,,9.072761768,0,601.984,665.842,4.445173921,1.288248249,2.664302892,1.02,0.675,0.86,1.53,0.3375,1.29,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,3,0,0.93,1.61,1.33
Na1.5Cr0.5Zr1.5(PO4)3,0.5,-5,0.00001,1,0.425,8.7382,22.4651,0.388967777,12.35768095,25.63967622,1485.535207,,1.395,0.83,1.995,,,0.993636608,0,0.003668609,0.00049593,0.002198853,,1817.517577,1805.952,0,6.667760881,0.901361703,3.996454338,,,9.072761768,0,601.984,665.842,4.445173921,1.802723405,2.664302892,1.02,0.755,0.86,1.53,0.3775,1.29,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,3,0,0.93,1.66,1.33
Na1.5Ga0.5Zr1.5(PO4)3,0.5,-5.468521083,0.0000034,1,0.518,8.7801,22.7514,0.385914713,12.4169365,25.91923058,1518.929729,,1.395,0.905,1.995,,,0.993626753,0,0.003668572,0.000505843,0.002198831,,1817.535604,1805.952,0,6.667760881,0.919388408,3.996454338,,,9.072761768,0,601.984,665.842,4.445173921,1.838776816,2.664302892,1.02,0.76,0.86,1.53,0.38,1.29,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,3,0,0.93,1.81,1.33
