Formula,S,Sclass,Ea,Paper,a,c,a/c,h,d,Vcalc,D1ionicr,D2ionicr,D3ionicr,D1eff,D2eff,D3eff,D1volperatom,D2volperatom,D3volperatom,D1vol,D2vol,D3vol,Zr,Na,Sn,Ge,PO4,V,Mg,Mn,Fe,Al,Ni,Cr,SiO4,Ti,Sc,Hf,In,D1eneg,D2eneg,D3eneg,
Li1.1Hf1.9Cr0.1(PO4)3,3.80E-04,1,,Li3,8.81,21.9603,0.40117849,12.45922148,25.24850443,1476.11678,0.73,0.85,0.755,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.3,1.66,Li1.1Hf1.9Cr0.1(PO4)3
LiZr1.9Sr0.1(PO4)3,3.44E-05,1,,Li4,8.8535,22.32,0.396662186,12.52073977,25.59201681,1515.147122,0.73,0.86,1.32,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.33,0.95,LiZr1.9Sr0.1(PO4)3
LiZr1.8Sr0.2(PO4)3,1.42E-05,1,,Li4,8.858,22.36,0.396153846,12.52710374,25.63002006,1519.40581,0.73,0.86,1.32,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.33,0.95,LiZr1.8Sr0.2(PO4)3
Li2TiFe(PO4)3,3.34E-07,0,,Li5,8.452,23.62,0.357832345,11.95293303,26.47219311,1461.266748,0.73,0.745,0.69,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.54,1.83,Li2TiFe(PO4)3
Li2ZrFe(PO4)3,1.14E-08,0,,Li5,8.47,24.8,0.341532258,11.97838887,27.54127448,1540.745016,0.73,0.86,0.69,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.33,1.83,Li2ZrFe(PO4)3
Li2ZrIn(PO4)3,8.22E-08,0,,Li6,8.767,24.2,0.362272727,12.3984103,27.19118567,1610.8237,0.73,0.86,0.94,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.33,1.78,Li2ZrIn(PO4)3
LiCrTa(PO4)3,6.20E-06,1,,AONO,8.547,21.533,0.396925649,13.62,25.47890282,1362.268078,0.73,0.755,0.86,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.66,1.5,LiCrTa(PO4)3
LiCrTa(PO4)3– 0.2Li3PO4,1.50E-05,1,,AONO,8.541,21.452,0.398144695,13.55,25.37303301,1355.238915,0.73,0.755,0.86,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.66,1.5,LiCrTa(PO4)3– 0.2Li3PO4
LiCrTa(PO4)3– 0.2Li3BO3,2.40E-05,1,,AONO,8.535,21.465,0.397624039,13.54,25.3786884,1354.155617,0.73,0.755,0.86,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.66,1.5,LiCrTa(PO4)3– 0.2Li3BO3
Li1.3AL0.3Ti1.7(PO4)3,7.00E-04,1,,AONO2,8.5,20.82,0.408261287,12.02081528,24.04105655,1302.714384,0.73,0.745,0.675,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.54,1.61,Li1.3AL0.3Ti1.7(PO4)3
Li1.3Sc0.3Ti1.7(PO4)3,7.00E-04,1,,AONO2,8.57,20.98,0.408484271,12.11981023,24.22911884,1334.43603,0.73,0.745,0.885,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.36,1.54,Li1.3Sc0.3Ti1.7(PO4)3
Li1.5Al0.5Ge1.5(PO4)3,4.00E-04,1,,SAFANAMA,8.2568,20.6508,0.399829547,11.67687854,23.72351224,1219.245166,0.73,0.67,0.675,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,2.01,1.61,Li1.5Al0.5Ge1.5(PO4)3
Li1Ge2(PO4)3,8.00E-08,0,,WEISS,8.27,20.46,0.404203324,11.69554616,23.56687081,1211.845572,0.73,0.87,0.87,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,2.01,2.01,Li1Ge2(PO4)3
Li1.5Al0.5Ge1.5(PO4)3,1.00E-04,1,,WEISS,8.26,20.66,0.399806389,11.68140403,23.73374812,1220.94008,0.73,0.675,0.87,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.61,2.01,Li1.5Al0.5Ge1.5(PO4)3
Li1.2Al0.2Ti1.8(PO4)3,3.16E-03,1,,RETTENWALDER,8.507,20.83,0.408401344,12.03071478,24.05466687,1305.487649,0.73,0.745,0.675,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.54,1.61,Li1.2Al0.2Ti1.8(PO4)3
Li1.5Al0.5Ti1.5(PO4)3,4.70E-03,1,,RETTENWALDER,8.49,20.76,0.408959538,12.00667314,23.98203077,1295.905584,0.73,0.745,0.675,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.54,1.61,Li1.5Al0.5Ti1.5(PO4)3
Li1.3Ti1.7Cr0.3(PO4)3,1.99E-05,1,,Svitan,8.523,20.89,0.407994256,12.05334219,24.11794266,1314.177564,0.73,0.745,0.755,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.54,1.66,Li1.3Ti1.7Cr0.3(PO4)3
Li1.7Ti1.3Cr1.7(PO4)3,6.31E-05,1,,Svitan,8.529,20.91,0.407890961,12.06182747,24.13950666,1317.288478,0.73,0.745,0.755,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.54,1.66,Li1.7Ti1.3Cr1.7(PO4)3
Li1.1Zr1.9Y0.1(PO4)3,8.90E-03,1,,YutaoLi,8.8698,22.1344,0.400724664,12.54379146,25.44166597,1508.085764,0.73,0.86,1.04,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.33,1.22,Li1.1Zr1.9Y0.1(PO4)3
Li1.15Zr1.85Y0.15(PO4)3,7.00E-03,1,,YutaoLi,8.8727,22.1578,0.400432353,12.54789267,25.46404743,1510.667426,0.73,0.86,1.04,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.33,1.22,Li1.15Zr1.85Y0.15(PO4)3
LiHf2(PO4)3,6.31E-07,0,,aono3,8.82,22.03,0.400363141,12.47336362,25.31611542,1484.165388,0.73,0.85,0.85,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.3,1.3,LiHf2(PO4)3
Li1.2Fe0.2HF1.8 (PO4)3,1.58E-04,1,,aono3,8.82,22.02,0.400544959,12.47336362,25.30741393,1483.491686,0.73,0.69,0.85,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.83,1.3,Li1.2Fe0.2HF1.8 (PO4)3
Li1.2Cr0.2HF1.8 (PO4)3,1.00E-04,1,,aono3,8.81,21.93,0.401732786,12.45922148,25.22215494,1474.08009,0.73,0.755,0.85,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.66,1.3,Li1.2Cr0.2HF1.8 (PO4)3
Li1.2Sc0.2HF1.8 (PO4)3,2.00E-05,1,,aono3,8.85,21.96,0.403005464,12.51579003,25.2762062,1489.530872,0.73,0.885,0.85,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.36,1.3,Li1.2Sc0.2HF1.8 (PO4)3
Li1.2In0.2HF1.8 (PO4)3,1.26E-04,1,,aono3,8.83,21.95,0.402277904,12.48750576,25.25352055,1482.130906,0.73,0.94,0.85,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.78,1.3,Li1.2In0.2HF1.8 (PO4)3
Li1.2Lu0.2HF1.8 (PO4)3,1.00E-04,1,,aono3,8.84,22,0.401818182,12.50164789,25.30397597,1488.873645,0.73,1,0.85,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.27,1.3,Li1.2Lu0.2HF1.8 (PO4)3
Li1.2Y0.2HF1.8 (PO4)3,3.16E-05,1,,aono3,8.84,21.93,0.403100775,12.50164789,25.24313966,1484.13632,0.73,1.04,0.85,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.22,1.3,Li1.2Y0.2HF1.8 (PO4)3
Li1.4Fe0.4HF1.6 (PO4)3,2.00E-05,1,,aono3,8.8,21.87,0.402377686,12.44507935,25.16300658,1466.711709,0.73,0.69,0.85,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.83,1.3,Li1.4Fe0.4HF1.6 (PO4)3
Li1.4Sc0.4HF1.6 (PO4)3,1.00E-04,1,,aono3,8.845,21.95,0.402961276,12.50871896,25.2640169,1487.170735,0.73,0.885,0.85,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.36,1.3,Li1.4Sc0.4HF1.6 (PO4)5
Li1.4In0.4HF1.6 (PO4)3,1.41E-04,1,,aono3,8.84,21.95,0.402733485,12.50164789,25.26051662,1485.489842,0.73,0.94,0.85,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.78,1.3,Li1.4In0.4HF1.6 (PO4)6
Li1.4Lu0.4HF1.6 (PO4)3,2.00E-05,1,,aono3,8.87,21.95,0.404100228,12.5440743,25.2815407,1495.58946,0.73,1,0.85,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.27,1.3,Li1.4Lu0.4HF1.6 (PO4)7
Li1.4Y0.4HF1.6 (PO4)3,2.00E-05,1,,aono3,8.86,21.91,0.404381561,12.52993216,25.23979596,1489.499813,0.73,1.04,0.85,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.22,1.3,Li1.4Y0.4HF1.6 (PO4)8
Li3Cr2(PO4)3,2.50E-08,0,,Yvoire,8.272,22.219,0.372293983,11.69837459,25.11047449,1316.667732,0.73,0.755,0.755,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.98,1.66,1.66,Li3Cr2(PO4)3
