Formula,d2occu,Slog,S,Sclass,Ea,a,c,a/c,h,d,Vcalc,,D1eneff,D2eneff,D3eneff,D1vol,D2vol,D3vol,,Pestimrad,Siestimrad,Pvolpermolecule,Sivolpermolecule,D1volperatom,D2volperatom,D3volperatom,D1ionicr,D2ionicr,D3ionicr,D1eff,D2eff,D3eff,Ga,Sc,Y,Yb,Cr,Al,In,Co,Cu,Zn,Mg,Mo,Nb,Sn,Hf,Ge,Ti,Zr,SiO4,Na,PO4,Fe,D1eneg,D2eneg,D3eneg
NaSn0.5Zr1.5(PO4)3,0.5,-10.37365963,4.23E-11,0,0.63,8.525,21.974,0.387958496,12.05617062,25.0640764,1383.020212,,0.93,0.98,1.995,4.445173921,1.197546881,3.996454338,,7.85724,0,75.247,83.275,4.445173921,2.395093762,2.664302892,1.02,0.83,0.86,1.02,0.415,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.5,0,1,3,0,0.93,1.96,1.33
NaSnZr(PO4)3,1,-9.607303047,2.47E-10,0,0.63,8.6943,22.473,0.386877586,12.29559698,25.61674128,1471.16345,,0.93,1.96,1.33,4.445173921,2.395093762,2.664302892,,7.85724,0,75.247,83.275,4.445173921,2.395093762,2.664302892,1.02,0.83,0.86,1.02,0.83,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,0,0.93,1.96,1.33
NaSn1.5Zr0.5(PO4)3,1.5,-9.101823517,7.91E-10,0,0.59,8.623,22.357,0.385695755,12.19476355,25.46659983,1439.66329,,0.93,2.94,0.665,4.445173921,3.592640643,1.332151446,,7.85724,0,75.247,83.275,4.445173921,2.395093762,2.664302892,1.02,0.83,0.86,1.02,1.245,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0.5,0,1,3,0,0.93,1.96,1.33
NaNbZr(PO4)3,1,-7.603800653,2.49E-08,0,0.54,8.776,22.431,0.39124426,12.41113822,25.63564146,1496.140903,,0.93,1.6,1.33,4.445173921,2.309562927,2.664302892,,7.85724,0,75.247,83.275,4.445173921,2.309562927,2.664302892,1.02,0.82,0.86,1.02,0.82,0.86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0.93,1.6,1.33
NaNbTi(PO4)3,1,-5.798602876,0.00000159,1,0.38,8.64,22.001,0.392709422,12.21880518,25.16631083,1422.330548,,0.93,1.6,1.54,4.445173921,2.309562927,1.732036583,,7.85724,0,75.247,83.275,4.445173921,2.309562927,1.732036583,1.02,0.82,0.745,1.02,0.82,0.745,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,0,0.93,1.6,1.54
NaMoZr(PO4)3,1,-8.68613278,2.06E-09,0,0.55,8.721,22.401,0.389312977,12.33335648,25.57179077,1475.470772,,0.93,2.16,1.33,4.445173921,2.065235189,2.664302892,,7.85724,0,75.247,83.275,4.445173921,2.065235189,2.664302892,1.02,0.79,0.86,1.02,0.79,0.86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0.93,2.16,1.33
NaMoTi(PO4)3,1,-6.512861625,0.000000307,0,0.4,8.545,21.881,0.390521457,12.08445489,24.99624394,1383.636251,,0.93,2.16,1.54,4.445173921,2.065235189,1.732036583,,7.85724,0,75.247,83.275,4.445173921,2.065235189,1.732036583,1.02,0.79,0.745,1.02,0.79,0.745,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0.93,2.16,1.54
Na3Zr2(SiO4)2(PO4),1,-3.173925197,0.00067,1,0.33,9.021,9.206,0.97990441,12.75762055,15.7323653,1616,,2.79,1.33,1.33,13.33552176,2.664302892,2.664302892,,7.85724,0,75.247,83.275,4.445173921,2.664302892,2.664302892,1.02,0.86,0.86,3.06,0.86,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,0.93,1.33,1.33
Na4Zr2(SiO4)3,1,-8.05207638,8.87E-09,0,0.38,9.1,22.07,0.412324422,12.86934342,25.54808995,1582.762491,,3.72,1.33,1.33,17.78069568,2.664302892,2.664302892,,0,8.127,75.247,83.275,4.445173921,2.664302892,2.664302892,1.02,0.86,0.86,4.08,0.86,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,0,0.93,1.33,1.33
Na2.4Hf2(SiO4)1.4(PO4)1.6,1,-3.13667714,0.00073,1,0.4,8.945,22.81,0.392152565,12.65014032,26.08298583,1580.580453,,2.232,1.3,1.3,10.66841741,2.572438612,2.572438612,,4.1904,3.7926,75.247,83.275,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,2.448,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.4,2.4,1.6,0,0.93,1.3,1.3
Na2.6Hf2(SiO4)1.6(PO4)1.4,1,-3.229147988,0.00059,1,0.35,8.966,22.82,0.392900964,12.6798388,26.10614319,1588.70675,,2.418,1.3,1.3,11.55745219,2.572438612,2.572438612,,3.6666,4.3344,75.247,83.275,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,2.652,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.6,2.6,1.4,0,0.93,1.3,1.3
Na2.8Hf2(SiO4)1.8(PO4)1.2,1,-3.161150909,0.00069,1,0.42,8.982,22.89,0.392398427,12.70246622,26.17832592,1599.272707,,2.604,1.3,1.3,12.44648698,2.572438612,2.572438612,,3.1428,4.8762,75.247,83.275,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,2.856,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.8,2.8,1.2,0,0.93,1.3,1.3
Na3Hf2(SiO4)2(PO4),1,-2.958607315,0.0011,1,0.35,9.021,22.89,0.394102228,12.75762055,26.20513274,1613.190999,,2.79,1.3,1.3,13.33552176,2.572438612,2.572438612,,2.619,5.418,75.247,83.275,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,3.06,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,1,0,0.93,1.3,1.3
Na3.2Hf2(SiO4)2.2(PO4)0.8,1,-2.638272164,0.0023,1,0.36,9.043,22.8,0.396622807,12.78873324,26.14176157,1614.695148,,2.976,1.3,1.3,14.22455655,2.572438612,2.572438612,,2.0952,5.9598,75.247,83.275,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,3.264,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2.2,3.2,0.8,0,0.93,1.3,1.3
Na3.4Hf2(SiO4)2.4(PO4)0.6,1,-2.853871964,0.0014,1,0.35,9.056,22.63,0.400176757,12.80711802,26.00267625,1607.266946,,3.162,1.3,1.3,15.11359133,2.572438612,2.572438612,,1.5714,6.5016,75.247,83.275,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,3.468,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2.4,3.4,0.6,0,0.93,1.3,1.3
Na3.6Hf2(SiO4)2.6(PO4)0.4,1,-2.920818754,0.0012,1,0.34,9.084,22.481,0.404074552,12.846716,25.89273012,1606.573164,,3.348,1.3,1.3,16.00262612,2.572438612,2.572438612,,1.0476,7.0434,75.247,83.275,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,3.672,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2.6,3.6,0.4,0,0.93,1.3,1.3
Na3.8Hf2(SiO4)2.8(PO4)0.2,1,-3.494850022,0.00032,1,0.35,9.111,23.309,0.39087906,12.88489977,26.6332522,1675.661791,,3.534,2.6,1.3,16.8916609,2.572438612,2.572438612,,0.5283,7.5852,75.247,83.275,4.445173921,2.572438612,2.572438612,1.02,0.85,0.85,3.876,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2.8,3.8,0.2,0,0.93,1.3,1.3
Na1.2In0.2Zr1.8(PO4)3,0.2,-6.681936665,0.000000208,0,0.49,8.8198,22.7217,0.388166378,12.47308078,25.92013493,1530.695929,,1.116,0.356,2.394,5.334208705,0.695827837,4.795745206,,7.85724,0,75.247,83.275,4.445173921,3.479139185,2.664302892,1.02,0.94,0.86,1.224,0.188,1.548,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1.8,0,1.2,3,0,0.93,1.78,1.33
Na1.4In0.4Zr1.6(PO4)3,0.4,-6.010550182,0.000000976,0,0.45,8.83778,22.6913,0.389478787,12.49850834,25.90574852,1534.886909,,1.302,0.712,2.128,6.223243489,1.391655674,4.262884627,,7.85724,0,75.247,83.275,4.445173921,3.479139185,2.664302892,1.02,0.94,0.86,1.428,0.376,1.376,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,1.6,0,1.4,3,0,0.93,1.78,1.33
Na1.5Al0.5Zr1.5(PO4)3,0.5,-5.244125144,0.0000057,1,0.54,8.7991,22.7283,0.387142901,12.44380656,25.91184946,1523.961837,,1.395,0.805,1.995,6.667760881,0.644124125,3.996454338,,7.85724,0,75.247,83.275,4.445173921,1.288248249,2.664302892,1.02,0.675,0.86,1.53,0.3375,1.29,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,3,0,0.93,1.61,1.33
Na1.5Cr0.5Zr1.5(PO4)3,0.5,-5,0.00001,1,0.425,8.7382,22.4651,0.388967777,12.35768095,25.63967622,1485.535207,,1.395,0.83,1.995,6.667760881,0.901361703,3.996454338,,7.85724,0,75.247,83.275,4.445173921,1.802723405,2.664302892,1.02,0.755,0.86,1.53,0.3775,1.29,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,3,0,0.93,1.66,1.33
Na1.5Ga0.5Zr1.5(PO4)3,0.5,-5.468521083,0.0000034,1,0.518,8.7801,22.7514,0.385914713,12.4169365,25.91923058,1518.929729,,1.395,0.905,1.995,6.667760881,0.919388408,3.996454338,,7.85724,0,75.247,83.275,4.445173921,1.838776816,2.664302892,1.02,0.76,0.86,1.53,0.38,1.29,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,3,0,0.93,1.81,1.33
Na1.5In0.5Zr1.5(PO4)3,0.5,-4.537602002,0.000029,1,0.477,8.8283,22.6401,0.389940857,12.48510159,25.85443656,1528.13998,,1.395,0.89,1.995,6.667760881,1.739569592,3.996454338,,7.85724,0,75.247,83.275,4.445173921,3.479139185,2.664302892,1.02,0.94,0.86,1.53,0.47,1.29,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,3,0,0.93,1.78,1.33
Na1.5Sc0.5Zr1.5(PO4)3,0.5,-4.236572006,0.000058,1,0.425,8.8411,22.6746,0.38991206,12.50320353,25.8933888,1534.909845,,1.395,0.68,1.995,6.667760881,1.451737378,3.996454338,,7.85724,0,75.247,83.275,4.445173921,2.903474757,2.664302892,1.02,0.885,0.86,1.53,0.4425,1.29,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,3,0,0.93,1.36,1.33
Na1.5Y0.5Zr1.5(PO4)3,0.5,-4.251811973,0.000056,1,0.378,8.8782,22.7761,0.389803346,12.55567085,26.00760661,1554.747406,,1.395,0.61,1.995,6.667760881,2.355907663,3.996454338,,7.85724,0,75.247,83.275,4.445173921,4.711815325,2.664302892,1.02,1.04,0.86,1.53,0.52,1.29,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,3,0,0.93,1.22,1.33
Na1.5Yb0.5Zr1.5(PO4)3,0.5,-4.522878745,0.00003,1,0.425,8.8841,22.7965,0.389713333,12.56401471,26.02950015,1558.208906,,1.395,0.55,1.995,6.667760881,2.145061969,3.996454338,,7.85724,0,75.247,83.275,4.445173921,4.290123938,2.664302892,1.02,1.008,0.86,1.53,0.504,1.29,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1.5,3,0,0.93,1.1,1.33
Na2AlZr(PO4)3,1,-5.920818754,0.0000012,1,0.586,8.7682,22.6821,0.386569145,12.40010736,25.85034473,1510.201117,,1.86,1.61,1.33,8.890347842,1.288248249,2.664302892,,7.85724,0,75.247,83.275,4.445173921,1.288248249,2.664302892,1.02,0.675,0.86,2.04,0.675,0.86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0.93,1.61,1.33
Na2CrZr(PO4)3,1,-4.602059991,0.000025,1,0.409,8.7242,22.2799,0.391572673,12.33788196,25.46796567,1468.571498,,1.86,1.66,1.33,8.890347842,1.802723405,2.664302892,,7.85724,0,75.247,83.275,4.445173921,1.802723405,2.664302892,1.02,0.755,0.86,2.04,0.755,0.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0.93,1.66,1.33
Na2.2In1.2Zr0.8(PO4)3,1.2,-5.580044252,0.00000263,1,0.42,8.90247,22.4943,0.395765594,12.58999381,25.77792615,1543.917722,,2.046,1.78,1.064,9.779382626,4.174967022,2.131442314,,7.85724,0,75.247,83.275,4.445173921,3.479139185,2.664302892,1.02,0.94,0.86,2.244,1.128,0.688,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0.8,0,2.2,3,0,0.93,1.78,1.33
Na2.5Cr1.5Zr0.5(PO4)3,1.5,-3.744727495,0.00018,1,0.425,8.6713,21.96717,0.394739058,12.26307006,25.1582878,1430.451594,,2.325,2.49,0.665,11.1129348,2.704085108,1.332151446,,7.85724,0,75.247,83.275,4.445173921,1.802723405,2.664302892,1.02,0.755,0.86,2.55,1.1325,0.43,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2.5,3,0,0.93,1.66,1.33
Na2.5In1.5Zr0.5(PO4)3,1.5,-4,0.0001,1,0.472,8.9083,22.40012,0.397689834,12.59823868,25.69982478,1539.467925,,2.325,2.67,0.665,11.1129348,5.218708777,1.332151446,,7.85724,0,75.247,83.275,4.445173921,3.479139185,2.664302892,1.02,0.94,0.86,2.55,1.41,0.43,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0.5,0,2.5,3,0,0.93,1.78,1.33
Na2.5Sc1.5Zr0.5(PO4)3,1.5,-3.251811973,0.00056,1,0.357,8.8991,22.4445,0.396493573,12.58522791,25.73214997,1539.33357,,2.325,2.04,0.665,11.1129348,4.355212135,1.332151446,,7.85724,0,75.247,83.275,4.445173921,2.903474757,2.664302892,1.02,0.885,0.86,2.55,1.3275,0.43,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2.5,3,0,0.93,1.36,1.33
Na2.5Y1.5Zr0.5(PO4)3,1.5,-4.337242168,0.000046,1,0.456,8.9762,22.8656,0.392563502,12.69426378,26.15301123,1595.505387,,2.325,1.83,0.665,11.1129348,7.067722988,1.332151446,,7.85724,0,75.247,83.275,4.445173921,4.711815325,2.664302892,1.02,1.04,0.86,2.55,1.56,0.43,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2.5,3,0,0.93,1.22,1.33
Na2.5Yb1.5Zr0.5(PO4)3,1.5,-3.721246399,0.00019,1,0.544,9.0363,22.76313,0.396970891,12.77925801,26.10497123,1609.696101,,2.325,1.65,0.665,11.1129348,6.435185908,1.332151446,,7.85724,0,75.247,83.275,4.445173921,4.290123938,2.664302892,1.02,1.008,0.86,2.55,1.512,0.43,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2.5,3,0,0.93,1.1,1.33
Na2.6In1.6Zr0.4(PO4)3,1.6,-5.55129368,0.00000281,1,0.46,8.93731,22.40444,0.398907984,12.63926501,25.72372352,1549.80968,,2.418,2.848,0.532,11.55745219,5.566622696,1.065721157,,7.85724,0,75.247,83.275,4.445173921,3.479139185,2.664302892,1.02,0.94,0.86,2.652,1.504,0.344,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0.4,0,2.6,3,0,0.93,1.78,1.33
Na2.8In1.8Zr0.2(PO4)3,1.8,-5.623423043,0.00000238,1,0.43,8.9555,22.35393,0.400623067,12.66498956,25.69241419,1552.616491,,2.604,3.204,0.266,12.44648698,20.29033973,0.532860578,,7.85724,0,75.247,83.275,4.445173921,3.479139185,2.664302892,1.02,0.94,0.86,2.856,1.692,0.172,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0.2,0,2.8,3,0,0.93,1.78,1.33
Na3Cr2(PO4)3,1,-6.769551079,0.00000017,0,0.68,8.6432,21.6193,0.399790928,12.22333066,24.83553794,1398.61,,2.79,1.66,1.66,13.33552176,1.802723405,1.802723405,,7.85724,0,75.247,83.275,4.445173921,1.802723405,1.802723405,1.02,0.755,0.755,3.06,0.755,0.755,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0.93,1.66,1.66
Na3Fe2(PO4)3,1,-6.920818754,0.00000012,0,0.82,8.72702,21.80779,0.400179019,12.34187004,25.05796202,1438.38,,2.79,1.83,1.83,13.33552176,1.376054119,1.376054119,,7.85724,0,75.247,83.275,4.445173921,1.376054119,1.376054119,1.02,0.69,0.69,3.06,0.755,0.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0.93,1.83,1.83
Na3Sc2(PO4)3,1,-4.643974143,0.0000227,1,0.352,8.9314,22.326,0.400044791,12.63090701,25.65131747,1542.2,,2.79,1.36,1.36,13.33552176,2.903474757,2.903474757,,7.85724,0,75.247,83.275,4.445173921,2.903474757,2.903474757,1.02,0.885,0.885,3.06,0.755,0.755,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0.93,1.36,1.36
Na1.4Al0.4Ge1.6(PO4)3,0.4,-9.137868621,7.28E-10,0,0.63,8.1427,21.5,0.378730233,11.51551677,24.38969304,1234.542259,,1.302,0.644,3.216,6.223243489,0.5152993,2.015731271,,7.85724,0,75.247,83.275,4.445173921,1.288248249,1.259832044,1.02,0.675,0.67,1.428,0.27,1.072,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1.6,0,0,0,1.4,3,0,0.93,1.61,2.01
Na1.4Al0.4Sn1.6(PO4)3,0.4,-7.850780887,1.41E-08,0,0.57,8.5346,22.3847,0.381269349,12.06974707,25.4313505,1412.044075,,1.302,0.644,3.136,6.223243489,0.5152993,3.832150019,,7.85724,0,75.247,83.275,4.445173921,1.288248249,2.395093762,1.02,0.675,0.83,1.428,0.27,1.328,0,0,0,0,0,0.4,0,0,0,0,0,0,0,1.6,0,0,0,0,0,1.4,3,0,0.93,1.61,1.96
Na1.4Al0.4Ti1.6(PO4)3,0.4,-7.251811973,0.000000056,0,0.52,8.4748,21.769,0.389305894,11.9851771,24.85022799,1354.02919,,1.302,0.644,2.464,6.223243489,0.5152993,2.771258533,,7.85724,0,75.247,83.275,4.445173921,1.288248249,1.732036583,1.02,0.675,0.745,1.428,0.27,1.192,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,1.6,0,0,1.4,3,0,0.93,1.61,1.54
Na1.6Al0.6Ti1.4(PO4)3,0.6,-6.958607315,0.00000011,0,0.56,8.48251,21.66916,0.391455414,11.99608068,24.76809332,1350.272643,,1.488,0.966,2.156,7.112278274,0.77294895,2.424851216,,7.85724,0,75.247,83.275,4.445173921,1.288248249,1.732036583,1.02,0.675,0.745,1.632,0.405,1.043,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,1.4,0,0,1.6,3,0,0.93,1.61,1.54
Na1.8Al0.8Ti1.2(PO4)3,0.8,-6.920818754,0.00000012,0,0.55,8.48202,21.61877,0.39234517,11.99538772,24.72368385,1346.977053,,1.674,1.288,1.848,8.001313058,1.0305986,2.0784439,,7.85724,0,75.247,83.275,4.445173921,1.288248249,1.732036583,1.02,0.675,0.745,1.836,0.54,0.894,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,1.2,0,0,1.8,3,0,0.93,1.61,1.54
Na1.9Al0.9Ti1.1(PO4)3,0.9,-6.886056648,0.00000013,0,0.51,8.48461,21.59946,0.392815839,11.99905053,24.7085792,1346.59592,,1.767,1.449,1.694,8.44583045,1.159423424,1.905240241,,7.85724,0,75.247,83.275,4.445173921,1.288248249,1.732036583,1.02,0.675,0.745,1.938,0.6075,0.8195,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,1.1,0,0,1.9,3,0,0.93,1.61,1.54
Na1.4In0.4Ti1.6(PO4)3,0.4,-7.730487056,1.86E-08,0,0.535,8.57531,21.90484,0.391480148,12.1273197,25.03784932,1394.987688,,1.302,0.712,2.464,6.223243489,1.391655674,2.771258533,,7.85724,0,75.247,83.275,4.445173921,3.479139185,1.732036583,1.02,0.94,0.745,1.428,0.376,1.192,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1.6,0,0,1.4,3,0,0.93,1.78,1.54
Na1.4In0.4Sn1.6(PO4)3,0.4,-7.565431096,2.72E-08,0,0.53,8.66622,22.34855,0.387775493,12.25588586,25.48851556,1453.581551,,1.302,0.712,3.136,6.223243489,1.391655674,3.832150019,,7.85724,0,75.247,83.275,4.445173921,3.479139185,2.395093762,1.02,0.94,0.83,1.428,0.376,1.328,0,0,0,0,0,0,0.4,0,0,0,0,0,0,1.6,0,0,0,0,0,1.4,3,0,0.93,1.78,1.96
Na1.4In0.4Hf1.6(PO4)3,0.4,-6.730487056,0.000000186,0,0.405,8.81821,22.61572,0.389915068,12.47083218,25.8261969,1523.007088,,1.302,0.712,2.08,6.223243489,1.391655674,4.115901779,,7.85724,0,75.247,83.275,4.445173921,3.479139185,2.572438612,1.02,0.94,0.85,1.428,0.376,1.36,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,1.6,0,0,0,0,1.4,3,0,0.93,1.78,1.3
